station code,year,wqi,ph,do,bod,nitrate,locations,locations_full,water_quality
1719,2010,61.0,8.0,4.9,1.2,0.35,GAGGAR D/S HANUMANGARH NEAR 2 KNJ NAI ABADI,"GAGGAR D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR, ",Average
1719,2011,62.0,7.3,5.0,2.8,0.14,GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI,"GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR",Average
1719,2013,54.0,7.3,5.0,1.7,0.0,GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI,"GAGGAR RIVER D/S HANUMANGARH NEAR 2 KNJ NAI ABADI, MAKKASR, RAJASTHAN",Good
1726,2003,101.0,110.0,7.6,1.1,0.516,CHANDRAPUR,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",Average
1726,2007,64.0,7.4,5.4,3.0,0.06,CHANDRAPUR,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",Average
1726,2008,68.0,7.8,5.8,2.93,0.1,CHANDRAPUR,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",Average
1726,2009,71.0,7.8,5.7,3.4,0.2,NAN,NAN,Average
1726,2010,78.0,8.0,6.3,4.2,0.3,CHANDRAPUR,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",Average
1726,2011,77.0,7.9,6.6,4.4,0.8,CHANDRAPUR,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",Average
1726,2012,77.0,8.0,6.5,4.2,0.99,CHANDRAPUR,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER",Average
1726,2013,69.0,7.7,6.6,3.7,1.55,CHANDRAPUR,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",Average
1726,2014,76.0,7.9,6.6,4.2,1.9,CHANDRAPUR,"CHANDRAPUR, AGARTALA D/S OF HAORA RIVER, TRIPURA",Average
18,2003,107.0,62.0,6.8,1.5,0.221,PERIYAR AT KALADY,"PERIYAR AT KALADY, KERALA",Bad
18,2006,36.0,6.586,7.286,1.071,0.233,PERIYAR AT KALADY,"PERIYAR AT KALADY, KERALA",Good
18,2007,33.0,6.8,7.5,0.8,0.3,PERIYAR AT KALADY,"PERIYAR AT KALADY, KERALA",Good
18,2008,33.0,6.6,7.3,0.6,0.41,PERIYAR AT KALADY,"PERIYAR AT KALADY, KERALA",Good
18,2009,36.0,6.8,6.9,0.8,0.22,NAN,NAN,Good
18,2010,37.0,6.8,7.2,1.1,0.24,PERIYAR AT KALADY,PERIYAR AT KALADY,Good
18,2011,35.0,7.0,7.4,0.9,0.26,PERIYAR AT KALADY,"PERIYAR AT KALADY, KERALA",Good
18,2012,39.0,7.2,7.5,1.1,0.27,PERIYAR AT KALADY,PERIYAR AT KALADY,Good
18,2013,36.0,7.0,7.3,1.0,0.27,PERIYAR AT KALADY,"PERIYAR AT KALADY, KERALA",Good
